ttd_drug_id,drug_name,disease_name,icd11_code,clinical_status
D0I6LH,Triptolide,Autoimmune diabetes,5A10,Phase 3
D0I5WJ,Blisibimod,Systemic lupus erythematosus,4A40.0,Phase 3
D0I5RR,V-503,Human papillomavirus infection,1A9Y,Phase 3
D0I5PQ,Interferon alpha-1b,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 1
D0I5EU,RG7421+RG7204,Melanoma,2C30,Phase 3
D0I4XF,ALT 005,Ophthalmic infection,1F00.1,Phase 3
D0I4TH,GDC-0068,Colorectal cancer,2B91.Z,Phase 3
D0I4TH,GDC-0068,Breast cancer,2C60-2C65,Phase 3
D0I4TH,GDC-0068,Prostate cancer,2C82.0,Phase 3
D0I4TH,GDC-0068,Solid tumour/cancer,2A00-2F9Z,Phase 2
D0I4TH,GDC-0068,Gastric adenocarcinoma,2B72,Phase 2
D0I3NA,Human-cl rhFVIII,Hypertension,BA00-BA04,Phase 3
D0I3GZ,TAK-003,Dengue fever,1D2Z,Phase 3
D0I2KE,MK-7684,Lung cancer,2C25.0,Phase 3
D0I2KE,MK-7684,Solid tumour/cancer,2A00-2F9Z,Phase 1
D0I1QI,Ganetespib,Non-small-cell lung cancer,2C25.Y,Phase 3
D0I1ML,AZD1222 vaccine,Coronavirus Disease 2019 (COVID-19),1D6Y,Investigative
D0I1KL,ACT-2,Wound healing,EL8Y,Phase 3
D0I1DW,Edotecarin,Gastric adenocarcinoma,2B72,Phase 3
D0I0ZP,Glyminox,Sexually transmitted infection,1A9Z,Phase 3
D0HZ2E,M100907,Sleep-wake disorder,7A00-7B2Z,Phase 3
D0HS5V,Brivanib,Liver cancer,2C12,Phase 3
D0HS5V,Brivanib,Breast cancer,2C60-2C65,Phase 3
D0HR7Z,PF-05280014,Breast cancer,2C60-2C65,Phase 3
D0HR7P,Amonafide,Breast cancer,2C60-2C65,Phase 3
D0HR7P,Amonafide,Ovarian cancer,2C73,Phase 3
D0HR7P,Amonafide,Prostate cancer,2C82.0,Phase 3
D0HM6B,T-121,Complex regional pain syndrome,8D8A.0,Phase 3
D0HL5N,Trastuzumab duocarmazine,Breast cancer,2C60-2C65,Phase 3
D0HL1X,ISIS-PKK,Amyloid cardiomyopathy,5D00.20,Phase 3
D0HK3X,ASF-1057,Erythema,ME64.0,Phase 3
D0HE7I,H1N1 influenza vaccine,Influenza virus infection,1E30-1E32,Phase 3
D0HB0V,JX-594,Hepatocellular carcinoma,2C12.02,Phase 3
D0HB0V,JX-594,Colorectal cancer,2B91.Z,Phase 2
D0HB0V,JX-594,Liver cancer,2C12,Phase 2
D0H9QC,S-474474,Metabolic syndrome x,5C50-5D2Z,Phase 3
D0H9PT,RG3638,Gastric adenocarcinoma,2B72,Phase 3
D0H9PT,RG3638,Non-small-cell lung cancer,2C25.Y,Phase 3
D0H8MH,HGH-CTP,Growth hormone deficiency,5A61.3,Phase 3
D0H6BS,Rydaptmidostaurin,Acute myeloid leukaemia,2A60,Phase 3
D0H5JW,[3H](R)-(-)-baclofen,Multiple sclerosis,8A40,Phase 3
D0H5IZ,Etirinotecan pegol,Breast cancer,2C60-2C65,Phase 3
D0H5IZ,Etirinotecan pegol,Ovarian cancer,2C73,Phase 2
D0H4YL,Afluria Quadrivalent,Influenza virus infection,1E30-1E32,Phase 3
D0H3NN,Chondrocyte tissue grafts,Back pain,ME84.Z,Phase 3
D0H2RJ,Clazosentan,Cerebral vasospasm,BA85.Z,Phase 3
D0H2RJ,Clazosentan,Vasospasm,9B74.0,Discontinued in Phase 3
D0H2AP,EDG-004,Generalized anxiety disorder,6B00,Phase 3
D0H1UW,LATIN T1D,Type-1 diabetes,5A10,Phase 3
D0H1UK,MK-8591,Human immunodeficiency virus infection,1C62,Phase 3
D0H1TL,ABT-874,Plaque psoriasis,EA90.0,Phase 3
D0H1TL,ABT-874,Rheumatoid arthritis,FA20,Phase 1
D0H1TL,ABT-874,Crohn disease,DD70,Discontinued in Phase 2
D0H1PK,MVA-BN,Ebola virus infection,1D60.0,Phase 3
D0H1NL,TESAGLITAZAR,Type-1 diabetes,5A10,Phase 3
D0H1FN,AL-02,Amyotrophic lateral sclerosis,8B60.0,Phase 3
D0H0UB,Darotropium + 642444,Chronic obstructive pulmonary disease,CA22,Phase 3
D0GY4H,Taberminogene vadenovec,Vascular restinosis,BE2Z,Phase 3
D0GX3L,Arbaclofen placarbil,Fragile X syndrome,LD55,Phase 3
D0GX3L,Arbaclofen placarbil,Alcohol dependence,6C40.2,Phase 2
D0GW6K,ADX N05,Mood disorder,6A60-6E23,Phase 3
D0GW6K,ADX N05,Excessive daytime sleepiness,MG42,Phase 2
D0GW1P,Actacel,Bordetella pertussis infection,1C12.0,Phase 3
D0GP8N,MK-8808,Follicular lymphoma,2A80,Phase 3
D0GP8N,MK-8808,Rheumatoid arthritis,FA20,Phase 1
D0GH3Q,ITF2357,Duchenne dystrophy,8C70,Phase 3
D0GH3Q,ITF2357,Myelofibrosis,2A20.2,Phase 2
D0GH3Q,ITF2357,Polycythemia vera,2A20.4,Phase 2
D0GH3Q,ITF2357,Essential thrombocythemia,3B63.1Z,Phase 2
D0GG9P,Balixafortide,Metastatic breast cancer,2C6Y,Phase 3
D0G8ZQ,G17DT,Gastric adenocarcinoma,2B72,Phase 3
D0G8UL,Alferminogene tadenovec,Angina pectoris,BA40,Phase 3
D0G8UL,Alferminogene tadenovec,Heart disease,BA41-BA42,Phase 3
D0G8NK,Axanum,Peptic ulcer,DA61,Phase 3
D0G7MV,INCB24360,Urothelial carcinoma,2C92.0,Phase 3
D0G7MV,INCB24360,Solid tumour/cancer,2A00-2F9Z,Phase 2
D0G7MV,INCB24360,Melanoma,2C30,Phase 2
D0G7MV,INCB24360,Recurrent glioblastoma,2A00.00,Phase 1
D0G7MV,INCB24360,Lymphoma,2A80-2A86,Phase 1
D0G7MV,INCB24360,B-cell lymphoma,2A86,Phase 1
D0G7MV,INCB24360,Colorectal cancer,2B91.Z,Phase 1
D0G7MV,INCB24360,Lung cancer,2C25.0,Phase 1
D0G7MV,INCB24360,Merkel cell carcinoma,2C34,Phase 1
D0G7MV,INCB24360,Ovarian cancer,2C73,Phase 1
D0G7MV,INCB24360,Head and neck cancer,2D42,Phase 1
D0G7IV,Premarin/Pravachol,Hyperlipidaemia,5C80,Phase 3
D0G6ZS,DTwP-HepB prophylactic vaccine,Hepatitis B virus infection,1E51.0,Phase 3
D0G6ZG,Amediplase,Myocardial infarction,BA41-BA43,Phase 3
D0G6ZG,Amediplase,Thrombosis,DB61-GB90,Phase 3
D0G6TL,DiaPep-277,Autoimmune diabetes,5A10,Phase 3
D0G6RB,Cintredekin besudotox,Brain cancer,2A00,Phase 3
D0G6DF,HMPL-004,Inflammatory bowel disease,DD72,Phase 3
D0G5JL,Famotidine,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 3
D0G4BF,DTaP-HepB prophylactic vaccine,Hepatitis B virus infection,1E51.0,Phase 3
D0G3YC,Netupitant,Chemotherapy-induced nausea,MD90,Phase 3
D0G3OI,MK-8237,Allergic asthma,CA23.0,Phase 3
D0G3LM,Clomethiazole,Stroke,8B20,Phase 3
D0G2ZX,Vernakalant IV,Atrial fibrillation,BC81.3,Phase 3
D0G2MR,ProstaVac,Prostate hyperplasia,GA90,Phase 3
D0G2CG,AL3818,Alveolar soft part sarcoma,2A60-2C35,Phase 3
D0G2CG,AL3818,Leiomyosarcoma,2B58,Phase 3
D0G2CG,AL3818,Synovial sarcoma,2B5A,Phase 3
D0G2CG,AL3818,Peritoneal cavity cancer,2C51.Z,Phase 1/2
D0G2CG,AL3818,Ovarian cancer,2C73,Phase 1/2
D0G2CG,AL3818,Fallopian tube cancer,2C74,Phase 1/2
D0G2CG,AL3818,Endometrial cancer,2C76,Phase 1/2
D0G2CG,AL3818,Cervical cancer,2C77.0,Phase 1/2
D0G1WV,Thiophanate-methyl,Plant grey mould disease,N.A.,Phase 3
D0G1EC,Aspirin,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 2/3
D0FV3K,AC0010,Non-small-cell lung cancer,2C25.Y,Phase 3
D0FT4R,Sivelestat,Multiple sclerosis,8A40,Phase 3
D0FT4R,Sivelestat,Crohn disease,DD70,Phase 3
D0FT4R,Sivelestat,Ulcerative colitis,DD71,Phase 3
D0FT4R,Sivelestat,Pyoderma gangrenosum,EB21,Phase 3
D0FT4R,Sivelestat,Rheumatoid arthritis,FA20,Phase 3
D0FT4R,Sivelestat,Psoriatic arthritis,FA21,Phase 3
D0FT4R,Sivelestat,Anterior uveitis,9A96,Application submitted
D0FT4R,Sivelestat,Axial spondyloarthritis,FA92.0,Application submitted
D0FQ2U,Talabostat,Constitutional neutropenia,4B00.0,Phase 3
D0FQ2U,Talabostat,Solid tumour/cancer,2A00-2F9Z,Phase 1
D0FP5B,MK-8962,Fertility problem,5A61,Phase 3
D0FP0R,Apaziquone,Non-muscle invasive bladder cancer,2C94,Phase 3
D0FP0R,Apaziquone,Bladder cancer,2C94,Phase 3
D0FM5M,IMO-2125,Melanoma,2C30,Phase 3
D0FM5M,IMO-2125,Hepatitis C virus infection,1E51.1,Phase 1
D0FM5M,IMO-2125,Solid tumour/cancer,2A00-2F9Z,Phase 1
D0FL0R,ALS-L1023,Obesity,5B81,Phase 3
D0FJ9I,Cotellic,Melanoma,2C30,Phase 3
D0FJ9I,Cotellic,Breast cancer,2C60-2C65,Phase 2
D0FJ9I,Cotellic,Solid tumour/cancer,2A00-2F9Z,Phase 1
D0FJ9I,Cotellic,Renal cell carcinoma,2C90,Phase 1
D0FJ9I,Cotellic,Urothelial carcinoma,2C92.0,Phase 1
D0FJ9I,Cotellic,Head and neck cancer,2D42,Phase 1
D0FJ1W,DE-766,Gastric adenocarcinoma,2B72,Phase 3
D0FJ1W,DE-766,Non-small-cell lung cancer,2C25.Y,Phase 3
D0FJ1W,DE-766,Nasopharyngeal carcinoma,2B6B,Investigative
D0FA3O,Hydrocortisone,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 3
D0F9ZO,Spironolactone,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 3
D0F9VH,Tesetaxel,Breast cancer,2C60-2C65,Phase 3
D0F9VH,Tesetaxel,Gastric adenocarcinoma,2B72,Phase 2
D0F9VH,Tesetaxel,Melanoma,2C30,Phase 2
D0F9VH,Tesetaxel,Prostate cancer,2C82.0,Phase 2
D0F9VH,Tesetaxel,Bladder cancer,2C94,Phase 2
D0F8VM,"Meningococcal vaccine groups A,C,Y,W-135 conjugate",Tourette syndrome,8A05.00,Phase 3
D0F8UV,Nelipepimut S,Non-hodgkin lymphoma,2B33.5,Phase 3
D0F8UV,Nelipepimut S,Breast cancer,2C60-2C65,Phase 2
D0F8UV,Nelipepimut S,Gastric adenocarcinoma,2B72,Phase 1
D0F8JR,Cholecalciferol,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 3
D0F7ZJ,Iseganan,Head and neck cancer,2D42,Phase 3
D0F7ZJ,Iseganan,Bacterial infection,1A00-1C4Z,Discontinued in Phase 2
D0F7YW,MGN-1703,Colorectal cancer,2B91.Z,Phase 3
D0F7YW,MGN-1703,Solid tumour/cancer,2A00-2F9Z,Phase 1
D0F7XT,Fluoxetine,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 3
D0F5JH,CS-038,Type-2 diabetes,5A11,Phase 3
D0F4ZN,PAMAQUESIDE,Hyperlipidaemia,5C80,Phase 3
D0F4SY,Pridopidine,Huntington disease,8A01.10,Phase 3
D0F4IM,Adcetris,T-cell leukaemia,2A90,Phase 3
D0F4IM,Adcetris,Cutaneous T-cell lymphoma,2B01,Phase 3
D0F4IM,Adcetris,Hodgkin lymphoma,2B30,Phase 3
D0F4IM,Adcetris,Diffuse large B-cell lymphoma,2A81,Phase 2
D0F4IM,Adcetris,Non-hodgkin lymphoma,2B33.5,Phase 2
D0F3WG,Disufenton sodium,Ischemia,8B10-8B11,Phase 3
D0F3WG,Disufenton sodium,Recurrent glioblastoma,2A00.00,Phase 1
D0F3NH,Balaglitazone,Type-1 diabetes,5A10,Phase 3
D0F3HC,GS-9268,Non-cystic fibrosis bronchiectasis,CA24,Phase 3
D0F2CW,Almitrine,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 3
D0F1UZ,Amitriptyline+ketamine,Neuropathic pain,8E43.0,Phase 3
D0F1UZ,Amitriptyline+ketamine,Postherpetic neuralgia,1E91.5,Phase 2
D0F1UZ,Amitriptyline+ketamine,Diabetic neuropathy,8C0Z,Phase 2
D0F1JD,Apabetalone,Cardiovascular disease,BA00-BE2Z,Phase 3
D0F1JD,Apabetalone,Cardiac events,MC82,Phase 3
D0F1CE,LCQ908,Hepatitis C virus infection,1E51.1,Phase 3
D0F1CE,LCQ908,Familial chylomicronemia syndrome,5C80,Phase 3
D0F1CE,LCQ908,Hypertriglyceridemia,5C80.1,Phase 3
D0F0TO,Sevoflurane,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 3
D0ET9N,WC-3049,Congestive heart failure,BD10,Phase 3
D0ES9U,COR-003,Cushing disease,5A70,Phase 3
D0ER8I,Ushercell,Bacterial infection,1A00-1C4Z,Phase 3
D0ER5F,Ad5FGF-4,Angina pectoris,BA40,Phase 3
D0EQ5W,Sh-28-GST,Schistosomiasis,1F86,Phase 3
D0EO8K,Valsartan,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 3
D0EO5G,ALKS 6428,Opioid dependence,6C43.2Z,Phase 3
D0EH2Q,PF-05212366,Adolescent meningitis,1D01.10,Phase 3
D0EF2H,FP-001,Prostate cancer,2C82.0,Phase 3
D0E9SZ,SI-657,Alzheimer disease,8A20,Phase 3
D0E9NU,KRN-23,X-linked hypophosphataemia,5C63.22,Phase 3
D0E9NU,KRN-23,Hypophosphatasia,5C64.3,Phase 3
D0E9CC,Ombrabulin,Sarcoma,2A60-2C35,Phase 3
D0E9AF,ALN-TTRsc,Cardiomyopathy,BC43,Phase 3
D0E8NJ,ABP 798,B-cell non-hodgkin lymphoma,2B33.5,Phase 3
D0E8NJ,ABP 798,Non-hodgkin lymphoma,2B33.5,Phase 3
D0E8NJ,ABP 798,Rheumatoid arthritis,FA20,Phase 3
D0E7OC,Serelsa,Haematological malignancy,2B33.Y,Phase 3
D0E6XN,Cedar pollen allergen extract,Allergic rhinitis,CA08.0,Phase 3
D0E6UU,AG-SCT101,Hypertension,BA00-BA04,Phase 3
D0E6OJ,Solumedrol,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 2
D0E6FS,Rivaroxaban,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 3
D0E6ES,S. flexneri type 2a-rEPA Asucc,Shigella infection,1A02,Phase 3
D0E5VO,Vinanterol/fluticasone furoate,Asthma,CA23,Phase 3
D0E5DB,Laromustine,Solid tumour/cancer,2A00-2F9Z,Phase 3
D0E4VQ,Beloranib,Solid tumour/cancer,2A00-2F9Z,Phase 3
D0E4VQ,Beloranib,Obesity,5B81,Phase 1
D0E4PQ,Inno-LC-01,Glioblastoma multiforme,2A00.0,Phase 3
D0E4GG,Resatorvid,Sepsis,1G40-1G41,Phase 3
D0E3ZC,Oseltamivir,Influenza virus infection,1E30-1E32,Approved
D0E3ZC,Oseltamivir,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 3
D0E3JP,Prednisone,Coronavirus Disease 2019 (COVID-19),1D6Y,Investigative
D0E2YL,UNI-rhIL-11,Thrombocytopenia,3B64,Phase 3
D0E1JP,Montelukast,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 2/3
D0E1AW,GC5101B,Ulcer,CA02-CB40,Phase 3
D0E0XL,QMF149,Chronic obstructive pulmonary disease,CA22,Phase 3
D0E0HE,Hexyl,Radiation syndrome,NF00,Phase 3
D0DY7W,Nebracetam,Parkinson disease,8A00.0,Phase 3
D0DV8K,Dexamethasone,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 2/3
D0DV3T,Epoetin zeta,Anemia,3A00-3A9Z,Phase 3
D0DU9I,RT-100,Congestive heart failure,BD10,Phase 3
D0DR4W,MyoCell SDF-1,Heart failure,BD10-BD13,Phase 3
D0DP9O,Autologous chondrocyte implantation,Primary biliary cirrhosis,DB96.1,Phase 3
D0DP9O,Autologous chondrocyte implantation,Cartilage disorder,FA34,Phase 3
D0DP5I,BMS-986205,Melanoma,2C30,Phase 3
D0DP5I,BMS-986205,Gastric adenocarcinoma,2B72,Phase 2
D0DP5I,BMS-986205,Renal cell carcinoma,2C90,Phase 2
D0DP5I,BMS-986205,Advanced cancer,2A00-2F9Z,Phase 1
D0DP5I,BMS-986205,Solid tumour/cancer,2A00-2F9Z,Phase 1
D0DP3V,TG-C,Arthritis,FA20,Phase 3
D0DN1V,Dapagliflozin,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 3
D0DI6L,Sivextro,Acute bacterial skin infection,1C41,Phase 3
D0DF1R,Ulinastatin,Premature labour,JB00,Phase 3
D0DD9F,HumaSPECT,Prostate cancer,2C82.0,Phase 3
D0DD4P,Cresemba,Invasive aspergillosis,1F20.0,Phase 3
D0DD4P,Cresemba,Haematological malignancy,2B33.Y,Phase 1
D0DA3T,Prostate dendritic cell-based vaccine,Prostate cancer,2C82.0,Phase 3
D0D9VE,DCCR,Prader-Willi syndrome,LD90.3,Phase 3
D0D9VE,DCCR,Dyslipidemia,5C80-5C81,Phase 2
D0D9HZ,PF-06438179,Rheumatoid arthritis,FA20,Phase 3
D0D8RT,Quattro,Ragweed hypersensitivity allergic disease,4A8Z,Phase 3
D0D8RT,Quattro,Grass pollen hypersensitivity,4B07,Phase 3
D0D8QV,AXS-02,Neuropathic pain,8E43.0,Phase 3
D0D8QV,AXS-02,Knee osteoarthritis,FA01,Phase 3
D0D8QV,AXS-02,Chronic low back pain,MG30.02,Phase 3
D0D8KQ,Jakafi,Essential thrombocythemia,3B63.1Z,Phase 3
D0D7UD,AS-013,Thrombosis,DB61-GB90,Phase 3
D0D7TD,Cethromycin,Bacterial infection,1A00-1C4Z,Phase 3
D0D7TD,Cethromycin,Pneumonia,CA40,Phase 3
D0D7KU,SNA-001,Acne vulgaris,ED80,Phase 3
D0D7GS,MultiStem,Ischemic stroke,8B11.5Z,Phase 3
D0D7GS,MultiStem,AIDS-related lymphoma,2B33.5,Phase 2
D0D7GS,MultiStem,Graft-versus-host disease,4B24,Phase 2
D0D7GS,MultiStem,Acute myocardial infarction,BA41,Phase 2
D0D7GS,MultiStem,Spinal cord injury,ND51.2,Phase 2
D0D7BX,Rivoceranib,Gastric adenocarcinoma,2B72,Phase 3
D0D7BX,Rivoceranib,Sarcoma,2A60-2C35,Phase 2
D0D7BX,Rivoceranib,Solid tumour/cancer,2A00-2F9Z,Phase 1
D0D5ZU,QPI-1002,Renal transplantation,NE84,Phase 3
D0D5ZU,QPI-1002,Renal artery disease,BD40.2,Phase 1/2
D0D5NZ,H5N1 influenza vaccine,Influenza virus infection,1E30-1E32,Phase 3
D0D5IS,SYNSORB-Pk,Clostridium infection,1A04,Phase 3
D0D5FU,Baricitinib,Rheumatoid arthritis,FA20,Approved
D0D5FU,Baricitinib,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 3
D0D5AV,HPV 16/18 vaccine,Human papillomavirus infection,1A9Y,Phase 3
D0D4ZM,ISRAPAFANT,Asthma,CA23,Phase 3
D0D4RF,Sapacitabine,Acute myelogenous leukaemia,2A41,Phase 3
D0D4RF,Sapacitabine,Acute myeloid leukaemia,2A60,Phase 3
D0D4RF,Sapacitabine,Myelodysplastic syndrome,2A37,Phase 2
D0D4RF,Sapacitabine,Pancreatic cancer,2C10,Phase 2
D0D4RF,Sapacitabine,Breast cancer,2C60-2C65,Phase 2
D0D4RF,Sapacitabine,Ovarian cancer,2C73,Phase 2
D0D4OS,VM-202,Peripheral neuropathy,8C0Z,Phase 3
D0D4OS,VM-202,Angina pectoris,BA40,Phase 3
D0D4OS,VM-202,Peripheral arterial disease,BD4Z,Phase 3
D0D4OS,VM-202,Diabetic foot ulcer,BD54,Phase 3
D0D4OS,VM-202,Amyotrophic lateral sclerosis,8B60.0,Phase 2
D0D3TX,EVP-6124,Schizophrenia,6A20,Phase 3
D0D3TX,EVP-6124,Alzheimer disease,8A20,Phase 3
D0D2TZ,CMS-024-02,Solid tumour/cancer,2A00-2F9Z,Phase 3
D0D2TT,TV-1106,Growth hormone deficiency,5A61.3,Phase 3
D0D1UD,STI-001,Colorectal cancer,2B91.Z,Phase 3
D0D1UD,STI-001,Bacterial infection,1A00-1C4Z,Investigative
D0D1JP,WR-279396,Leishmania infection,1F54.0,Phase 3
D0D0RW,KMB-17,Enterovirus infection,1D91,Phase 3
D0D0QQ,Velac Gel,Acne vulgaris,ED80,Phase 3
D0D0LH,NU-100,Multiple sclerosis,8A40,Phase 3
D0D0HB,DCVax,Colorectal cancer,2B91.Z,Phase 3
D0D0HB,DCVax,Prostate cancer,2C82.0,Phase 3
D0CZ5Z,SPD-465,Attention deficit hyperactivity disorder,6A05.Z,Phase 3
D0CZ1A,IRISQUINONE,Solid tumour/cancer,2A00-2F9Z,Phase 3
D0CW2B,ETX-101,Diabetic gastroparesis,DA41.00,Phase 3
D0CU1T,SB2,Plaque psoriasis,EA90.0,Phase 3
D0CU1T,SB2,Crohn disease,DD70,Application submitted
D0CU1T,SB2,Ulcerative colitis,DD71,Application submitted
D0CU1T,SB2,Psoriatic arthritis,FA21,Application submitted
D0CU1T,SB2,Ankylosing spondylitis,FA92.0,Application submitted
D0CR9L,Daromun,Melanoma,2C30,Phase 3
D0CR8H,SYM-004,Metastatic colorectal cancer,2B91,Phase 3
D0CR8H,SYM-004,Recurrent glioblastoma,2A00.00,Phase 2
D0CR8H,SYM-004,Colorectal cancer,2B91.Z,Phase 2
D0CR8H,SYM-004,Non-small-cell lung cancer,2C25.Y,Phase 2
D0CR8H,SYM-004,Head and neck cancer,2D42,Phase 2
D0CO3N,esuberaprost,Pulmonary arterial hypertension,BB01.0,Phase 3
D0CO3N,esuberaprost,Gout,FA25,Phase 3
D0CI9T,Ceftobiprole,Skin and skin-structure infection,1F28-1G0Z,Phase 3
D0CI9T,Ceftobiprole,Community-acquired pneumonia,CA40.Z,Phase 3
D0CH6B,ALZT-OP1,Alzheimer disease,8A20,Phase 3
D0CG0N,PRO-140,Human immunodeficiency virus infection,1C62,Phase 3
D0CF8T,Z-521,Hypophosphatasia,5C64.3,Phase 3
D0CF3M,Sifuvirtide,Human immunodeficiency virus infection,1C62,Phase 3
D0CE6C,LMI070,Spinal muscular atrophy,8B61,Phase 3
D0CE0O,Alisporivir,Duchenne dystrophy,8C70,Phase 3
D0CB2B,Serlopitant,Prurigo nodularis,EC91.0,Phase 3
D0CB2B,Serlopitant,Psoriasis vulgaris,EA90,Phase 2
D0C9LQ,LentiGlobin,Beta thalassemia,3A50.2,Phase 3
D0C9LQ,LentiGlobin,Sickle-cell disorder,3A51,Phase 1
D0C8PI,Zoniporide hydrochloride,Angina pectoris,BA40,Phase 3
D0C8DD,Losmapimod,Acute coronary syndrome,BA41,Phase 3
D0C6ZX,KW-3357,Coagulation defect,3B10.0,Phase 3
D0C6XR,Trimegestone/ethinyl estradiol,Contraception,QA21,Phase 3
D0C6QQ,Besipirdine,Cognitive impairment,6D71,Phase 3
D0C6ND,AIR-insulin,Diabetic complication,5A2Y,Phase 3
D0C5CE,Nabiximols,Muscle spasm,MB47.3,Phase 3
D0C5CE,Nabiximols,Cancer related pain,MG30,Phase 3
D0C4VN,GM3 ganglioside vaccine,Breast cancer,2C60-2C65,Phase 3
D0C4KT,XOMA 052,Type-2 diabetes,5A11,Phase 3
D0C4FA,BAX-855,Haemophilia A,3B10.0,Phase 3
D0C4DZ,ThermoProfen,Pain,MG30-MG3Z,Phase 3
D0C3YN,Heparin low molecular weight,Thrombosis,DB61-GB90,Phase 3
D0C3LQ,Ulocuplumab,Multiple myeloma,2A83,Phase 3
D0C3LQ,Ulocuplumab,Haematological malignancy,2B33.Y,Phase 1/2
D0C3CZ,Aldoxorubicin,Soft tissue sarcoma,2B57,Phase 3
D0C3CZ,Aldoxorubicin,Glioblastoma multiforme,2A00.0,Phase 2
D0C3CZ,Aldoxorubicin,Solid tumour/cancer,2A00-2F9Z,Phase 2
D0C3CZ,Aldoxorubicin,Pancreatic ductal carcinoma,2C10.0,Phase 2
D0C3CZ,Aldoxorubicin,Small-cell lung cancer,2C25.Y,Phase 2
D0C2XI,Claritin/Singulair,Allergic rhinitis,CA08.0,Phase 3
D0C2OR,MIM-D3,Alzheimer disease,8A20,Phase 3
D0C0NH,Avastin+/-Tarceva,Non-small-cell lung cancer,2C25.Y,Phase 3
D0C0NH,Avastin+/-Tarceva,Nasopharyngeal carcinoma,2B6B,Investigative
D0C0MN,Irbesartan/ trichlormethiazide fixed-dose combination,Hypertension,BA00-BA04,Phase 3
D0BO7P,Bictegravir + emtricitabine  +  tenofovir alafenamide,Human immunodeficiency virus-1 infection,1C62,Phase 3
D0BO0K,INCSHR1210,Bronchioalveolar carcinoma,2C25.0,Phase 3
D0BO0K,INCSHR1210,Esophageal squamous cell carcinoma,2E60.1,Phase 3
D0BO0K,INCSHR1210,Solid tumour/cancer,2A00-2F9Z,Phase 1
D0BN7W,Roclatan,Glaucoma/ocular hypertension,9C61,Phase 3
D0BF8Y,Pelareorep,Non-small-cell lung cancer,2C25.Y,Phase 3
D0BF8Y,Pelareorep,Peritoneal cavity cancer,2C51.Z,Phase 2
D0BF8Y,Pelareorep,Ovarian cancer,2C73,Phase 2
D0BF8Y,Pelareorep,Fallopian tube cancer,2C74,Phase 2
D0BF8Y,Pelareorep,Pancreatic cancer,2C10,Phase 1/2
D0BF8Y,Pelareorep,Malignant glioma,2A00.0,Phase 1
D0BF8Y,Pelareorep,Glioma,2A00.0,Phase 1
D0BF8Y,Pelareorep,Multiple myeloma,2A83,Phase 1
D0BF8Y,Pelareorep,Colorectal cancer,2B91.Z,Phase 1
D0BF0X,Interferon beta-1a,Multiple sclerosis,8A40,Approved
D0BF0X,Interferon beta-1a,Coronavirus Disease 2019 (COVID-19),1D6Y,Phase 3
D0BD9K,Gilotrif,Squamous cell carcinoma,2B60-2D01,Phase 3
D0BD9K,Gilotrif,Breast cancer,2C60-2C65,Phase 3
D0BD9K,Gilotrif,Glioma,2A00.0,Phase 2
D0BC0F,OSE-300,Parkinson disease,8A00.0,Phase 3
D0B9RG,Cabotegravir LA + rilpivirine LA combination,Human immunodeficiency virus infection,1C62,Phase 3
D0B8WU,JTZ-951,Anaemia,3A90,Phase 3
D0B7VK,Tifacogin,Sepsis,1G40-1G41,Phase 3
D0B7MO,PF-06886992,Meningococcal infection,1C1C,Phase 3
D0B7DW,Hyqvia + Kiovia,Nervous system paraneoplastic or autoimmune disorders,8E4A.1,Phase 3
D0B7AB,R-TPR-013,Female infertility,GA31.Z,Phase 3
D0B6WP,Improved influenza vaccine,Influenza virus infection,1E30-1E32,Phase 3
D0B6RA,LY404039,Schizophrenia,6A20,Phase 3
D0B6IZ,R1678,Schizophrenia,6A20,Phase 3
D0B5VV,IDegLira,Type-2 diabetes,5A11,Phase 3
D0B5GS,Vancomycin hydrochloride,Staphylococcus infection,1B5Y,Phase 3
D0B4OF,123I-iometopane,Parkinson disease,8A00.0,Phase 3
D0B4ES,Atamestane + Toremifene,Breast cancer,2C60-2C65,Phase 3
D0B3ZC,Claudiximab,Gastric adenocarcinoma,2B72,Phase 3
D0B3ZC,Claudiximab,Esophageal cancer,2B70,Phase 2
D0B3XG,Recombinant von Willebrand factor/recombinant Factor VIII complex,Von willebrand disease,3B12,Phase 3
D0B3SV,Meningococcal vaccine group B quadrivalent recombinant vaccine,Neisseria meningitis infection,1C1C.0,Phase 3
